iter	MultiClass
0	0.867163393
1	0.6081226042
2	0.4533842543
3	0.3454563667
4	0.272458073
5	0.2165477169
6	0.1732371906
7	0.1396351553
8	0.1144710383
9	0.09399243545
10	0.078038797
11	0.06651856749
12	0.05802559845
13	0.04932110272
14	0.04279927369
15	0.03699353481
16	0.03162583306
17	0.02803477718
18	0.02531345786
19	0.02244825356
20	0.02018425271
21	0.01819073851
22	0.01638597729
23	0.01511975035
24	0.01385979241
25	0.01270824876
26	0.01186583913
27	0.01113655471
28	0.01036035907
29	0.009735298736
30	0.009167630892
31	0.008745220714
32	0.008195785867
33	0.007817587194
34	0.007400490507
35	0.00698215604
36	0.006786386602
37	0.006517388785
38	0.00624283401
39	0.005953063652
40	0.005707279052
41	0.005415234626
42	0.005246328594
43	0.005137400367
44	0.005005195034
45	0.004725430461
46	0.004550295957
47	0.004303960307
48	0.00413517035
49	0.004062450045
50	0.003883487162
51	0.003768062376
52	0.003691796233
53	0.003548006569
54	0.003393508498
55	0.00325287305
56	0.003210876234
57	0.003177598778
58	0.003075448045
59	0.00290869485
60	0.002776952954
61	0.002748797351
62	0.002682820131
63	0.002573370559
64	0.002503407097
65	0.002413420833
66	0.002323149673
67	0.00225392942
68	0.00219991413
69	0.002118252647
70	0.002060886366
71	0.002021365618
72	0.001970155708
73	0.001907810914
74	0.001855397914
75	0.001789200699
76	0.001752506031
77	0.001706155923
78	0.001652616897
79	0.001616123418
80	0.001583773314
81	0.001556034258
82	0.001504482788
83	0.001479177528
84	0.001447772465
85	0.001425376245
86	0.001405677211
87	0.001389728713
88	0.001368274758
89	0.001336896447
90	0.001300508531
91	0.001271435037
92	0.001254362415
93	0.001240641782
94	0.001202755564
95	0.001193544155
96	0.001177736234
97	0.001156377668
98	0.001146523283
99	0.001119878151
